title,content
AP Broadcast Frame,"AP may regularly broadcast beacons. Probing, authentication and association frames are used only during association/reassociation process."
AP Discovery,A wireless NIC will send probe requests and receive broadcast beacon frames to discover an AP.
AP Modes,"Passive - AP periodically sends broadcast beacon frames containing SSID, supported standards, security settings. Active - Hidden and clients need to know the name of the SSID. Client sends a probe request."
Auto-MDIX ,Auto configures the port to allow device connections to use either straight-through or crossover cable.<br><b>Turn on MDIX (interface config): </b><samp>auto mdix</samp><br><b>Display info about auto-MDIX setting: </b><samp>show controllers ethernet-controller <interface> phy</samp>
Before creating WLAN,Create a new VLAN interface. Each WLAN on Cisco 3500 WLC needs its own VLAN interface.
Benefits of cloud computing and virtualization,"<ul><li>Provides a ""pay-as-you-go"" model, allowing organizations to treat computing and storage expenses as a utility</li><li>Enables rapid responses to increasing data volume requirements</li><li>Company does not need to be concerned about how to handle increasing data storage and processing demands with in-house data center equipment.</li><li>Company can increase processing and storage capacity as needed and then decrease capacity when it is no longer needed.</li></ul>"
Best Practice - CDP & LLDP,Disable both protocols on interfaces where they are not required.
Best Practice - Home WAP,"Wireless network password, AP password, SSID"
Blocked ports ,"Not root nor designated port so, blocked."
Boot Sequence ,"Power-on self-test (POST) > Boot Loader > CPU init. > Flash memory init. > BOOT environment variable locates IOS, IOS takes over.<br>Related questions:<i><ul><li>What does a switch use to locate and load the IOS image?</li></ul></i>"
BPDU,Bridge Protocol Data Units (BPDUs) share info about themselves and their connections and are used to elect the root port.
Bridge ID (BID) Components ,REDIRECT:Bridge Protocol Data Units (BPDU)
Bridge Priority Value,"Part of the BPDU, used to determine the root bridge. Available values range from 0 to 61440 in <b>increments of 4096</b>. The switch with the lowest priority value becomes the root bridge.<br>If the bridge priority across switchees is the same, the switch with the lowest MAC address becomes the root bridge."
Bridge Protocol Data Units (BPDU) ,"Bridge Priority (4 bits), Extended System ID (12 bits), MAC Address (48 bits). See Root Bridge Election"
Broadcast Address (MAC address),FFFF.FFFF.FFFF
Broadcast Domain ,"Where broadcast frames will reach. L2 switches, hubs and bridges extend the broadcast domain. Routers divide domains since they block broadcasts. Link between routers counts as broadcast domain.<br><br>Too many broadcasts may cause congestion and poor network performance.<br><img src='data/images/C328_BCD.png'>"
Broadcast Storm ,Abnormally high number of broadcasts overwhelming the network during a specific amount of time.
CAPWAP,"IEEE standard procotol, provides encapsulation & forwarding of wireless user traffic btwn AP and WLC."
Channel,"Adjusting channels is to avoid interference from nearby wireless devices. 1, 6 and 11 are good because they are 5 channels apart, minimising interference with other channels. Channel range is 1-11."
Characteristic of MIB,OIDs are organized in a hierarchical structure.
Check IP address that is assigned to MAC address,show ip dhcp binding (See show ip dhcp binding for more info)
Cisco Discovery Protocol (CDP),"Cisco proprietary Layer 2 protocol that used to gather information about directly connected Cisco neighbour device. CDP ads R sent occasionally, which contains info about device(s) discovered,  device name & number + type of interface on device."
Cloud Models (Types of clouds),"<table><thead><th>Public Cloud</th><th>Private Cloud</th><th>Hybrid Cloud</th><th>Community Cloud</th></thead><tbody><tr><td>Provides services and applications to the general population. Services may be free or offered on a pay-per-use model, such as online storage.</td><td>Provides services and applications to a specific organization and may be set up within the private organization or managed by an outside organization.</td><td>Made up of two or more clouds, where each part remains a separate object, but both are connected using a single architecture. People have diff access based on user rights.</td><td>Created for exclusive use by a specific community. Difference with public clouds is that it has been customized for the community.</td></tr></tbody>"
Collision Domain,"Only when half duplex is used. Collision happens on half duplex side. Hub increases collision domain, while switches, routers and bridges divide collision domains. To alleviate network congestion due to collisions, use a high port density switch (see Alleviate Network Congestion)"
Command History Features,<ul><li>Set the command history buffer size.</li><li>Recall previously entered commands.</li></ul><br>Related questions:<i><ul><li>Which tasks can be accomplished by using the command history feature? (Choose two.)</li></ul></i>
Configure EtherChannel (LACP),"<table><tbody><tr><td>Enter configuration of the interface range.</td><td><samp>Switch(config)# <b>interface range <i>&lt;list of interfaces&gt;</i></b></samp> (E.g. Fa0/2,Fa0/4)</td></tr><tr><td>Configure channel group</td><td><samp>Switch(config-if-range)# <b>channel-group <i>&lt;group number&gt; mode active</i></b></samp></td></tr></tbody></table><br>(After this, you will most likely need to configure trunking. See <b>Configure Trunking</b>)"
Configure Router-on-a-Stick Inter-VLAN routing,"<table><tbody><tr><td>Enter subinterface configuration.</td><td><samp>R1(config)# <b>interface G0/0/1.<i>&lt;VLAN ID&gt;</i></b></samp> (E.g. G0/0/1.10)</td></tr><tr><td>Provide description (optional)</td><td><samp>R1(config-subif)# <b>Description Default Gateway for VLAN 10</b></samp></td></tr><tr><td>Set the encapsulation mode.</td><td><samp>R1(config-subif)# <b>encapsulation dot1Q 10</b> (10 represents VLAN 10, set accordingly)</samp></td></tr><tr><td>Set IP address of subinterface.</td><td><samp>R1(config-subif)# <b>ip address <i>&lt;ip address&gt;</i> <i>&lt;subnet mask&gt;</i></b></samp></td></tr><tr><td>Enter interface configuration mode for the interface serving the subinterfaces.</td><td><samp>R1(config-subif)# <b>exit</b><br>R1(config)# <b>interface G0/0/1</b></samp></td></tr><tr><td>Switch on the port interface.</td><td><samp>R1(config-if)# <b>no shut</b></samp></td></tr></tbody></table>"
Configure SSH,"<ol><li>Verify SSH support by using show ip ssh.</li><li>Config IP domain by using <samp>ip domain-name <domain name></samp></li><li> Generate RSA key pairs by using <samp>cypto key generate rsa</samp></li><li>Config user authentication by using <samp>username <username> secret <password></samp></li><li>Config vty lines by going to vty config using <samp>line vty 0 15</samp> then type <samp>transport input ssh</samp>, then <samp>login local</samp></li></ol><br>Related questions:<i><ul><li>When configuring a switch for SSH access, what other command that is associated with the login local command is required to be entered on the switch?</li></ul></i>"
Configure Trunking (Trunk Configuration Commands),"<table><tbody><tr><td>Enter global configuration mode.</td><td><samp>Switch# <b>configure terminal</b></samp></td></tr><tr><td>Enter interface configuration mode.</td><td><samp>Switch(config)#<b> interface interface-id</b></samp> (if you configured EtherChannel, use ""port-channel &lt;channel number&gt;"". e.g., interface port-channel 1)</td></tr><tr><td>Set the port to permanent trunking mode.</td><td><samp>Switch(config-if)# <b>switchport mode trunk</b></samp></td></tr><tr><td>Sets the native VLAN to something other than VLAN 1.</td><td><samp>Switch(config-if)# <b>switchport trunk native vlan <i>vlan-id</i></b></samp></td></tr><tr><td>Specify the list of VLANs to be allowed on the trunk link.</td><td><samp>Switch(config-if)# <b>switchport trunk allowed vlan <i>vlan-list</i></b></samp></td></tr><tr><td>Return to the privileged EXEC mode.</td><td><samp>Switch(config-if)# <b>end</b></samp></td></tr></tbody></table>"
Configuring a router as a DHCP client ,"Enter the interface to configure, then type ip address dhcp"
Content Addressable Memory (CAM) table,"As the switch learns the relationship of ports to devices, it builds a MAC address table. This table is stored in CAM which is a special type of memory used in high-speed searching applications. For this reason, the MAC address table is sometimes also called the CAM table.<br><br>CAM is significantly faster than RAM, as it searches the entire memory content in one cycle, instead of a single address at a time. However, CAM is more expensive than RAM."
Create/Configure ,"For VLAN, go to VLAN Creation. For others, check the bottom. For steps before creating WLAN, see Before creating WLAN."
Cut-Through Switching,"Frames are forwarded without any error checking.<br>Can do rapid frame switching and has lower latency than Store-and-Forward switching. Once the destination MAC address of the frame has been looked up, forwarding decisions can be made. However due to no FCS check, invalid frames may be forwarded."
Data formats (JSON XML YAML),"The common data formats that are used in many applications including network automation and programmability are as follows:<ul><li><b>JavaScript Object Notation (JSON)</b> - In JSON, the data known as an object is one or more key/value pairs enclosed in braces { }. Keys must be strings within double quotation marks "" "". Keys and values are separated by a colon.</li><li><b>eXtensible Markup Language (XML)</b> - In XML, the data is enclosed within a related set of tags <tag>data</tag>.</li><li><b>YAML Ain't Markup Language (YAML)</b> - A superset of JSON. In YAML, the data known as an object is one or more key value pairs. Key value pairs are separated by a colon without the use of quotation marks. YAML uses indentation to define its structure, without the use of brackets or commas.</li></ul><br>Related questions:<i><ul><li>Discuss the three data formats covered in class and their readability attributes.</li><li>What is YAML?</li></ul></i>"
Designated Port ,"When There is a Root Port If one end of a segment is a root port, then the other end is a designated port."
Designated Port When There is No Root Port ,Leaves segments between two switches where both switches is not the root bridge. Theport on the switch with the least-cost path to the root bridge is the designated port.
Designated Ports on Root Bridge ,All ports on the root bridge are designated ports. This is because the root bridge has the lowest cost to itself.
DHCP Client Boot Up ,A DHCP enabled client PC will send two broadcast messages - DHCPDISCOVER and DHCPREQUEST (see DHCPv4 Operation)
DHCP Port Number ,67 and 68 (if there's only 1 option select 67)
DHCP Starvation Attack,"Legitimate users will not be able to get valid IP addresses, Layer 2 attack."
DHCPv4 Operation ,Client sends Discover broadcast to find a DHCP server (DHCPDISCOVER) > Server responds init. request and sends Offer (DHCPOFFER) > Client accepts and sends Request (DHCPREQUEST) > Server confirms lease and sends DHCP Acknowledgement (DHCPACK)
DHCPv4 Relay ,"In the interface to the network, type ip helper-address <ip address of DHCP server>. Verify using show ip interface."
DHCPv6 Relay ,"In the interface to the network, type ipv6 dhcp relay destination ipv6-address [interface]. To verify, type show ipv6 dhcp interface."
DHCPv6 Server Types ,Stateless - Enabled in RA messages with the ipv6 nd other-config-flag command. Clients send only DHCPv6 INFORMATION REQUEST msgs. Enabled on client using ipv6 address autoconfig command.
DHCPv6 Server Types ,"Stateful - M flag is 1 in RA msgs, uses address command to create pool of addresses, enabled on client using ipv6 address dhcp"
Disable DTP ,On links where trunking is not intended and when a Cisco switch is connected to a non-Cisco switch. See nonegotiate.
DTP (Dynamic Trunking Protocol) ,"Cisco proprietary protocol, used to auto negotiate trunking with another device. Links dynamically attempt trunking. Do not use for non-Cisco switches.<br><br><b>If dynamic auto is used in one interface, the other interface must be either dynamic desirable or trunk in order to form a trunk.</b> (Not to be confused with LACP/PAgP)<br><br><h3>DTP modes</h3><ul><li><b>access</b>: Interface becomes nontrunk interface, and negotiates to convert the link into a nontrunk link.</li><li><b>dynamic desirable</b>: Actively attempts to convert link to trunk</li><li><b>dynamic auto</b>: Passively waits for neighbour to initiate trunking</li><li><b>trunk</b>: Puts the interface into permanent trunking mode and negotiates to convert the neighboring link into a trunk link. Interface becomes trunk interface even if the neighboring interface is not a trunk interface.</li></ul>To configure a negotiated interface, in the <b>interface config</b>, type the command: <samp>Switch(config-if)# <b>switchport mode {access | dynamic {auto | desirable} | trunk}</b></samp><br>To enable trunking from a Cisco switch to a device that does not support DTP, use the commands: <samp>switchport mode trunk</samp> and <samp>switchport nonegotiate</samp> in the <b>interface configuration</b>."
DTP modes ,REDIRECT:DTP (Dynamic Trunking Protocol)
Duplex ,"If one side is full & other is half, late collision occurs on the half side. To config full duplex, use duplex full in interface config."
Duplex Mismatch,"On the half-duplex end of the connection.<br><br>Full-duplex communications do not produce collisions. However, collisions often occur in half-duplex operations. When a connection has two different duplex configurations, the half-duplex end will experience late collisions. Collisions are found on Ethernet networks. Serial interfaces use technologies other than Ethernet.<br>Related questions:<i><ul><li>If one end of an Ethernet connection is configured for full duplex and the other end of the connection is configured for half duplex, where would late collisions be observed?</li></ul></i>"
Election of Designated Ports (STP),All ports on the root bridge are designated ports. This is because the root bridge has the lowest cost to itself.
Election of Root Bridge (STP),"Switch with the lowest bridge ID (see Bridge ID Components) becomes root bridge. If two BIDs are the same, switch with lowest MAC address will win."
Election of Root Ports (STP),Root port is selected based on the lowest overall cost (best path) to the root bridge. See Root Path Cost for calculating cost.
Enable BPDU guard,(config)#spanning-tree portfast bpduguard default     OR     (config-if)#spanning-tree bpduguard enable
Endpoint Security Solutions,REDIRECT:Which three Cisco products focus on endpoint security solutions
EtherChannel ,Combines multiple physical links into a single logical link between two switches.
EtherChannel Advantages,"No need for spanning tree recalculation when link goes down, no need to upgrade links to increase bandwidth, config can be done on the EtherChannel interface."
EtherChannel Load-balancing ,"Source to Destination IP, source to destination MAC."
EtherChannel Requirements ,"All ports need to be the same speed, duplex, VLAN info like native and allowed VLANs, and trunking mode."
EtherChannel Types ,"PAgP - Cisco Prop., can have max 8 active links. States - (See PAgP States). LACP - IEEE spec, can have max 8 active links, 8 standby links. States - (See LCAP States)"
Exclude IPs from DHCP pool ,ip dhcp excluded-address <start ip address> [end ip address range (optional)]
First Hop Redundancy Protocols (FHRP) ,"HSRP - Cisco prop., failover of first hop IPv4 device. (See HSRP for more info) HSRP for IPv6 - Same as HSRP but for IPv6. HSRP group has virtual MAC addr. derived from HSRP grp num and also virtual IPv6 link-local address. Periodic RAs are sent when HSRP grp is active. VRRPv2 - IPv4, one router is elected as master, rest are backups. VRRPv3 - Added support for IPv6. GLBP - Cisco Prop., allows load balancing. GLBP for IPv6 - Same thing but for IPv6. IRDP - Legacy, hosts locate routers that provide connectivity to other networks."
FlexConnect,"FlexConnect is a wireless solution for branch and remote office deployments, and allows you to control access points in a branch office from the corporate office through a WAN link, without deploying a controller in each office.<br><br><b>Connected mode</b> - WLC is reachable, FlexConnect AP has CAPWAP connectivity with its WLC and can send traffic through CAPWAP tunnel.<br><b>Standalone mode</b> - WLC in unreachable. FlexConnect AP can assume some of the WLC functions like switching client data locally and client authentication locally."
"For a data center, what is the difference in the server virtualization data traffic compared with the traditional client-server model?",There are significant data exchanges between virtual servers.
Frame Check Sequence (FCS),The switch checks the last field of the datagram against its own FCS calculations. FCS checks for errors to ensure the frame is free of physical and data link errors.
Hello Message,"Part of HSRP. Hello messages are sent every 3 seconds by default. If no hello message is received for 10 seconds, the standby router will become the active one."
Hot Standby Router Protocol (HSRP) ,Transparent failover of first hope device; router. Used within a grp of routers for selecting active device and standby device for gateway services to a LAN.
How does virtualization help with disaster recovery within a data center?,Support of live migration
HSRP,"Cisco Proprietary Protocol. Uses active and standby routers. By default, device with the highest IPv4 addr is elected as the active router, except if a HSRP priority value is set. Priority is 100 by default, highest priority becomes active router. Active router sends Hello Messages every 3 seconds by default. Standby router becomes active one after 10 seconds if no hello message is received. No load balancing."
HSRP States,"Initial - First state after config change or when interface first becomes available. Learn - Router has not determined the virtual IP addr and has not seen hello messages from the active router. It will be waiting for messages from the active router. Listen - The router knows the virtual IP addr, but the router is neither the active router nor the standby router. It listens for hello messages from those routers. Speak - The router sends periodic hello messages and actively participates in the election of the active and/or standby router. Standby - The router is a candidate to become the next active router and sends periodic hello messages. Active - The router won the election."
Hypervisor,<b>Functions of Hypervisors</b><ul><li>To manage virtual machines</li><li>To allocate physical system resources to virtual machines</li></ul><br>The hypervisor does not protect the hosting OS from malware. Neither does it allow sharing software across virtual machines. The hard drive of the supporting computer does not need to be partitioned to run virtual machines. The hypervisor creates and manages virtual machines on a host computer and allocates physical system resources to them.
ICMPv6 RA Message Flags,"ICMPv6 RA messages contain two flags to indicate whether a workstation should use SLAAC, a DHCPv6 server, or a combination to configure its IPv6 address. These two flags are M flag and O flag. When both flags are 0 (by default), a client must only use the information in the RA message. When M flag is 0 and O flag is 1, a client should use the information in the RA message and look for the other configuration parameters (such as DNS server addresses) on DHCPv6 servers. "
IEEE 802.1Q ,"For VLAN tag field, go to VLAN tag field. For untagged frames, go to VLAN types - native. "
Ingress / Egress,<b>Ingress</b> - entering the interface<br><b>Egress</b> - exiting the interface
Interfaces missing in VLAN assignments,REDIRECT:Trunking
ip arp inspection validate src-mac (DAI),Checks source MAC in Ethernet header against sender MAC in ARP body.
IP Routing ,"To allow inter-VLAN routing on a Layer 3 switch, run the ip routing command in the global config. "
IPv4 Loopback Interface,A logical interface internal to the router. It is always in an UP state as long as the device is functioning properly.
IPv6 SLACC Default Gateway ,link-local address of the router interface in the network.
LACP,"IEEE 802.3ad (Open standrd, NOT Cisco Proprietary).<br><h3>LACP States</h3><ul><li><b>On</b> - Force channel without LACP exchange.</li><li><b>Active</b> - Active negotiation state, port init. negotiations by sending LACP packets.</li><li><b>Passive</b> - Passive negotiation state, port receives & responds but does not initiate LACP negotiation. (Combinations: On-On, Active-Active, Active-Passive)</li></ul>"
Link Aggregation Protocols,REDIRECT:EtherChannel Types
Link Layer Discovery Protocol (LLDP),"Vendor-neutral neighbor discovery protocol like CDP, allows 3rd party network devices. Advertises its identity and capabilities to devices and receives info from a physically connected Layer 2 device."
Local AAA,Ideal for small networks where the username and password is stored in the router.
Lower sender port priority ,"Default port priority is 128. If 1 switch’s port were configured with a lower port priority, other switch’s port in forwarding state. The other port on S4 would be a blocking state, prevent loop."
Lowest overall cost to root bridge ,REDIRECT:Root Port Election
MAC addr table full,Switch will treat all frames as unknown unicast and flood all incoming frames to all ports in the local VLAN.
Management Frames,"For management frames by AP, see AP Broadcast Frames."
Management Interface Creation (only on the management device) ,"In global config, type interface vlan <vlan id>, then ip add <ip addr> <subnet>, no shutdown, then go back to global config,and type ip default-gateway <ip addr>"
MIB Object ID,"Object IDentifiers (OID) uniquely identify managed objects in a MIB hierarchy. OIDs belonging to Cisco, are numbered as follows: .iso (1).org (3).dod (6).internet (1).private (4).enterprises (1).cisco (9). Therefore, the OID is 1.3.6.1.4.1.9.<br><br>To provide secure access to MIB objects, MIB uses Community Strings, which are like passwords.<br><br>Related questions:<i><ul><li>Which feature provides secure access to MIB objects?</li></ul></i>"
Min. Ethernet Frame Size ,64 bytes (any lower is treated as collision fragments/runt frames & discarded)
Mitigate VLAN attacks,"Enable trunking manually, disable DTP, set native VLAN to unused VLAN."
mls qos trust cos ,"Sets the trusted state of an interface, such as voice."
Multiple equal-cost paths  ,"When a switch has multiple equal-cost paths to the root bridge, root bridge is chosen using Lowest sender BID, Lowest sender port priority, Lowest sender port ID."
Native VLAN,REDIRECT:VLAN Types
Network Time Protocol (NTP),A protocol that allows network devices to synchronize their time with an NTP server. NTP uses UDP port 123 and is documented in RFC 1305. End Device needs an IP or cannot connect to NTP server
no switchport ,Converts a port into a routed port.
no switchport access vlan <vlan no.>,"When the command no switchport access vlan <vlan id> command is issued, the interface associated with that VLAN returns to VLAN 1 (default vlan)."
no switchport trunk native vlan ,Reset native vlan of trunk.
Nonegotiate ,Requires manual config of trunking or nontrunking. Trunk: Permanent trunking mode. switchport nonegotiate
NTP networks,"Use a hierarchical system of time sources. Each level is called a stratum. Stratum level is defined as the number of hop counts from the authoritative source. The synchronized time is distributed across the network by using NTP.<br><table><thead><th>Stratum Level</th><th>Description</th></thead><tbody><tr><td>0</td><td>No delay, non-network high precision timekeeping devices. Eg, Atomic & GPS clocks. Most accurate authoritative time sources.</td></tr><tr><td>1</td><td>Network devices that R directly connected to Auth time sources. Acts as the primary network time standard to stratum 2 devices using NTP.</td></tr><tr><td>2 and below</td><td>Stratum 2 servers R connected to Stratum 1 devices through network connections. Stratum 2 devices, such as NTP clients, synchronize their time by using the NTP packets from Stratum 1 servers. They can also act as servers for Stratum 3 devices.</td></tr></tbody></table>The max hop count is 15. Stratum 16 = unsynchronized.<br>Time servers on same stratum level can be configured to act as a peer with other time servers on the same stratum level for backup or verification of time."
PAgP,"Cisco Proprietary Protocol. PAgP packets are sent between EtherChannel-capable ports to negotiate the forming of a channel.<br><br><h3>PAgP States</h3><ul><li><b>On</b> - Force channel without PAgP exchanges.</li><li><b>Desirable</b> - Active negotiating state, initiates negotiations by sending PAgP packets.</li><li><b>Auto</b> - Passive negotiation state, receives & responds but does not initiate PAgP negotiation. (Combinations: On-On, Desire-Desire, Desire-Auto)</li></ul>"
Port Security Violation,"<b>shutdown (Default)</b> - Port goes to error-disabled state, port LED off, send syslog msg, violation counter increases. Admin must manually shutdown and no shutdown the interface.<br><b>restrict</b> - Drop packets until no. of secure MAC addresses decrease below max value or max value is increased. Sends syslog msg and increases violation counter.<br><b>protect</b> - Least secure, same as restrict except no syslog msg and no violation counter increase. Packets with unknown source addresses will be dropped without notification.<br>Check using <samp>show port-security <int></samp><br>If the MAC address of a device attached to the port differs from the list of secure addresses, then a port violation occurs.<br><br>To <b>check the status of port-security violation</b> of an interface, enter the command: <samp>show port-security</samp>"
Port States,"Blocking, Listening, Learning, Forwarding, Disabled. Blocking - Only receives BPDU, no MAC addr table updates, no forwarding data frames. Listening - Receives and sends BPDU, no MAC addr table updates, no forwarding data frames. Learning - Receives and sends BPDU, MAC addr table updates, no forwarding data frames. Forwarding - Receives and sends BPDU, MAC addr table updates, forwarding data frames. Disabled - Everything no"
QoS,Quality of Service. Prioritise time-sensitive traffic types like voice and video over other types like email.
RADIUS,Remote Authentication Dial-In User Service (RADIUS) is a protocol and server software that provides user-based authentication for an organization. Users in a WLAN will enter username and password credentials that are verified by the RADIUS server before allowing access to the WLAN.
Remove only 1/all vlan from switch ,See vlan deletion.
Reset Lost Password,Need physical access to the switch/router.<br>Related questions:<i><ul><li>What must an administrator have in order to reset a lost password on a router?</li></ul></i>
RESTful operations corresponding to HTTP methods,RESTful operations correspond to the following HTTP methods (shown to the left with the RESTful operation on the right):<ul><li>POST > Create</li><li>GET > Read</li><li>PUT/PATCH > Update</li><li>DELETE > Delete</li></ul><br><i>Answer for: Which RESTFul operation corresponds to the HTTP GET method?</i>
Root Bridge,A single switch which is used as a reference point for all path calculations. The root bridge is selected in an election process. (See Election of Root Bridge (STP))
Root Path Cost (STP),"<table><thead><tr><th>Link Speed</th><th>STP Cost: IEEE 802.1D-1998 </th><th>RSTP Cost: IEEE 802.1w-2004 </th></tr></thead><tbody><tr><td>10 Gbps</td><td>2</td><td>2,000</td></tr><tr><td>1 Gbps (Gigabit Ethernet)</td><td>4</td><td>20,000</td></tr><tr><td>100 Mbps (Fast Ethernet)</td><td>19</td><td>200,000</td></tr><tr><td>10 Mbps</td><td>100</td><td>2,000,000</td></tr></tbody></table>"
Root Port Election ,"The root port is the port closest to the root bridge in terms of overall cost (best path) to the root bridge. This overall cost is known as the internal root path cost. Paths with the lowest cost become preferred, and all other redundant paths are blocked.<br>(See <b>Root Path Cost</b> to see the path cost of each link type)<br><br><img src='data/images/C328_Root_Port_Election.jpg'>"
Routed Ports ,"Ports on a Layer 3 switch that are used for routing. For configuration, see no switchport."
Router-on-a-Stick ,"Where a router is being used to route traffic between vlans, and one connection between a router & switch serves all of the vlans. The interface on the router will have subinterfaces which connect to each vlan. To connect to a switch, you need to use trunking."
Router-on-a-Stick Configuration ,"Create the vlans (see VLAN creation), create mgmnt interface (see Management Interface Creation), configure access ports, configure trunking ports (see Trunking commands), then configure the subinterface & IP address (see Subinterface Configuration)."
Router-on-a-Stick Disadvantages ,Requires an extra router; Does not scale well beyond 50 VLANs due to network congestion.
Security for Wireless RTR,"Upon powering up, change default username and password of the wireless router."
Shared secret password,Used to encrypt messages between the WLC and RADIUS server.
show cdp neighbors detail vs show cdp neighbors,<b>What info can be gathered from show cdp neighbors detail that cannot be found with show cdp neighbors?</b><br>IP address of neighbor.
show ip dhcp binding ,Shows IPv4 addresses and assigned to hosts by DHCP server along with their MAC addresses.
show ip interface brief ,Displays the IP configuration of switch ports.
Show SSH info,Use the command show ip ssh in priviledged mode.
show vlan brief ,Displays VLAN assignment & membership for all switch ports.
shutdown/no shutdown ,Disables/Enables a virtual or physical switch interface respectively.
Simple Network Management Protocol (SNMP),"An application layer protocol for exchanging management information between network devices. It allows network administrators to monitor and manage network performance, find and solve network problems, and plan for network growth.<br><br><table><thead><tr><th>Version</th><th>Description</th></tr></thead><tbody><tr><td>SNMPv1</td><td>No encryption. Community string authentication</td></tr><tr><td>SNMPv2c</td><td>No encryption. Community string authentication</td></tr><tr><td>SNMPv3 noAuthNoPriv</td><td><br>Noencryption. Username authentication</td></tr><tr><td>SNMPv3 authNoPriv</td><td><br>Noencryption. HMAC-MD5 or HMAC-SHA authentication</td></tr><tr><td>SNMPv3 authPriv</td><td>DES (56 bit), 3DES 168 bit or AES (128,192,256 bit) encryption.<br>HMAC-MD5 or HMAC-SHA authentication</td></tr></tbody></table><br><br>"
SNMP Components / SNMP Operation,"<ol><li>SNMP manager</li><li>SNMP agents (managed node)</li><ul><li>Switches, routers, or any network device that requires management</li></ul><li>Management Information Base (MIB)</li><ul><li>Stores data about the device and operational statistics (Authorized users only)</li></ul></ol><br><table><thead><tr><th>Operation</th><th>Description</th></tr></thead><tbody><tr><td>get-request</td><td>Retrieves a value from a specific variable.</td></tr><tr><td>get-next-request</td><td>Retrieves a value from a variable within a table; the SNMP manager does not need to know the exact variable name. A sequential search is performed to find the needed variable from within a table.</td></tr><tr><td>get-bulk-request</td><td>Retrieves large blocks of data, such as multiple rows in a table, that would otherwise require the transmission of many small blocks of data. </td></tr><tr><td>get-response</td><td>Replies to a get-request, get-next-request, and set-request sent by a Network Management System (NMS).</td></tr><tr><td>set-request</td><td>Stores a value in a specific variable.</td></tr></tbody></table><img src='data/images/C328_SNMP_Operation.png'>"
SNMP Trap Messages,Unsolicited messages alerting the SNMP manager to a condition or event on the network such as a link being down. Trap-directed notifications reduce network and agent resources by eliminating the need for some of SNMP polling requests.
Spanning Tree Algorithm (STA) ,Select root bridge > Block redundant path > Loop free topography > Link failure = recalculate path.
Spanning Tree Protocol (STP) ,Prevent L2 loops which can result in broadcast storms by disabling redundant paths. Can calculate best path when there is a failure. No STP = Endless loop of frames + high CPU utilization n MAC address table instability. 
SSH (Secure Shell) ,Pretty much the same as Telnet but SSH has encryption so more secure.
